Date,Song,Last Played
03.14.1991,Typical Situation,-1
03.14.1991,The Best of What's Around,-1
03.14.1991,I'll Back You Up,-1
03.14.1991,The Song That Jane Likes,-1
03.14.1991,Warehouse,-1
03.14.1991,Cry Freedom,-1
03.14.1991,Recently,-1
04.03.1991,I'll Back You Up,1
04.03.1991,Redemption Song,-1
08.21.1991,Amazing Grace,-1
08.21.1991,Hey Joe,-1
08.21.1991,You Won't See Me,-1
08.21.1991,Cry Freedom,2
08.21.1991,Sympathy for the Devil,-1
08.21.1991,ABC [The Jackson 5],-1
08.31.1991,Recently,3
08.31.1991,The Best of What's Around,3
08.31.1991,The Song That Jane Likes,3
08.31.1991,Me and Julio Down by the Schoolyard,-1
08.31.1991,Lover Lay Down,-1
08.31.1991,Jimi Thing,-1
08.31.1991,Typical Situation,3
08.31.1991,What Would You Say,-1
08.31.1991,One Sweet World,-1
08.31.1991,I'll Back You Up,2
08.31.1991,All Along the Watchtower,-1
08.31.1991,Sympathy for the Devil,1
08.31.1991,[Unknown Song],-1
08.31.1991,Cry Freedom,1
08.31.1991,What Would You Say,-1
08.31.1991,Dancing Nancies,-1
08.31.1991,[Unknown Song],-1
08.31.1991,Tripping Billies,-1
08.31.1991,Warehouse,3
08.31.1991,[Unknown Song],-1
08.31.1991,You Won't See Me,1
08.31.1991,Redemption Song,2
08.31.1991,Satellite,-1
09.01.1991,One Sweet World,1
09.01.1991,Warehouse,1
09.01.1991,Typical Situation,1
09.20.1991,All Along the Watchtower,2
09.20.1991,Tripping Billies,2
09.20.1991,The Song That Jane Likes,2
09.20.1991,What Would You Say,2
09.20.1991,Recently,2
09.20.1991,Exodus,-1
09.20.1991,Cry Freedom,2
09.20.1991,Minarets,-1
10.21.1991,People People,-1
10.21.1991,Exodus,1
10.21.1991,True Reflections,-1
10.21.1991,Warehouse,2
10.21.1991,Minarets,1
10.22.1991,Warehouse,1
10.22.1991,Recently,2
10.22.1991,Spotlight,-1
10.22.1991,One Sweet World,3
10.22.1991,Angel From Montgomery,-1
